# Open English WordNet 2024 (CC BY 4.0): antonym lemma pairs. See THIRD_PARTY.md
a_la_carte	prix_fixe
continuity	discontinuity
continuous	discontinuous
contract	stretch
contract	widen
contract_in	contract_out
contracted	expanded
contraction	enlargement
contraindicate	indicate
contraindication	indication
contralateral	ipsilateral
contrapuntal	monophonic
contrasty	flat
control	derestrict
control	unrestraint
controlled	uncontrolled
controversial	noncontroversial
controversially	uncontroversially
convalesce	deteriorate
convenience	inconvenience
convenient	inconvenient
conventional	unconventional
conventionalism	unconventionality
conventionality	unconventionality
conventionally	unconventionally
converge	diverge
convergence	divergence
convergency	divergency
convergent	divergent
convergent_thinking	divergent_thinking
convertibility	inconvertibility
convertible	inconvertible
convinced	unconvinced
convincing	flimsy
convincingly	unconvincingly
cooked	raw
cooking_apple	dessert_apple
cool	warm
cooperative	uncooperative
coordinating	subordinating
coordination	incoordination
cork	uncork
corporeal	immaterial
corporeality	immateriality
corpuscular_theory	undulatory_theory
corpuscular_theory_of_light	wave_theory_of_light
correct	falsify
correct	incorrect
correct	wrong
corrected	uncorrected
correctitude	improperness
correctness	incorrectness
corrigible	incorrigible
corrupt	incorrupt
corrupt	square
corruptibility	incorruptibility
corruption	incorruption
cortex	medulla
cosmopolitan	endemic
cosmopolitan	provincial
costive	laxative
countenance	prohibit
counterfactuality	factuality
counterfeit	echt
counterrevolutionary	revolutionary
couple	decouple
courteous	discourteous
courteously	discourteously
courtesy	discourtesy
cousinly	uncousinly
cover	expose
covert	open
covertly	overtly
crannied	uncrannied
crate	uncrate
creative	uncreative
creativeness	uncreativeness
credibleness	incredibility
credit	debit
creditor	debitor
credulous	incredulous
credulously	disbelievingly
crescendo	decrescendo
criminal_prosecution	defence
criminalisation	decriminalisation
criminalization	decriminalization
criminalize	legalise
critical	noncritical
critical	uncritical
critically	uncritically
criticize	praise
crooked	straight
crookedness	straightness
cross	uncross
cross-eyed	walleyed
cross-fertilisation	self-fertilisation
cross-pollination	self-pollination
crossbred	purebred
crossed	uncrossed
crosswise	lengthways
crowded	uncrowded
crowned	crownless
crowned	uncrowned
crucial	noncrucial
crude	processed
cry	express_mirth
cryptogamia	phanerogamae
crystalline	noncrystalline
crystallised	uncrystallised
cubic	linear
cubic	planar
cultivated	uncultivated
cultivated_plant	weed
curability	incurability
curable	incurable
curableness	incurableness
curious	incurious
curliness	straightness
curly	straight
current	noncurrent
cursorial	fossorial
curtained	curtainless
curve	straight_line
curved	straight
custom	ready-made
custom-built	ready-made
cut	rough
cut	switch_on
cut	uncut
cyclic	noncyclic
dabbler	diving_duck
damaged	undamaged
dampen	excite
danger	safety
dangerous	safe
dangerousness	safeness
dark	light
darken	lighten
darkness	lightness
datable	undatable
dauntlessly	fearfully
day	nighttime
day_game	night_game
day_of_rest	working_day
day_school	night_school
de-energise	energize
de-escalate	escalate
de-iodinate	iodinate
de-iodinating	iodinating
de_facto	de_jure
dead	live
dead	living
deadly_sin	venial_sin
deadness	responsiveness
deaf	hearing
debark	embark
debenture_bond	secured_bond
debilitating	invigorating
decency	indecency
decent	improperly
decent	indecent
decently	indecently
decertify	license
decideable	undecideable
deciduous	evergreen
deciduous_plant	evergreen_plant
